GDP,Inflation rate,Unemployment rate,Exchange Rate(w RMB),TotalRevenue,OperatingRevenue,CostOfRevenue,GrossProfit,OperatingExpense,SellingGeneralAndAdministration,GeneralAndAdministrativeExpense,SalariesAndWages,RentAndLandingFees,OtherGandA,SellingAndMarketingExpense,DepreciationAmortizationDepletionIncomeStatement,DepreciationAndAmortizationInIncomeStatement,DepreciationIncomeStatement,OtherOperatingExpenses,OperatingIncome,NetNonOperatingInterestIncomeExpense,InterestIncomeNonOperating,InterestExpenseNonOperating,TotalOtherFinanceCost,OtherIncomeExpense,GainOnSaleOfSecurity,SpecialIncomeCharges,RestructuringAndMergernAcquisition,ImpairmentOfCapitalAssets,WriteOff,OtherSpecialCharges,OtherNonOperatingIncomeExpenses,PretaxIncome,TaxProvision,NetIncomeCommonStockholders,NetIncome,NetIncomeIncludingNoncontrollingInterests,NetIncomeContinuousOperations,NetIncomeExtraordinary,PreferredStockDividends,DilutedNIAvailtoComStockholders,BasicEPS,DilutedEPS,BasicAverageShares,DilutedAverageShares,TotalOperatingIncomeAsReported,RentExpenseSupplemental,TotalExpenses,NetIncomeFromContinuingAndDiscontinuedOperation,NormalizedIncome,InterestIncome,InterestExpense,NetInterestIncome,EBIT,EBITDA,ReconciledCostOfRevenue,ReconciledDepreciation,NetIncomeFromContinuingOperationNetMinorityInterest,TotalUnusualItemsExcludingGoodwill,TotalUnusualItems,NormalizedEBITDA,TaxRateForCalcs,TaxEffectOfUnusualItems,open,high,low,close,adjclose,volume,ticker,MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PegRatio,PsRatio,PbRatio,EnterprisesValueRevenueRatio,EnterprisesValueEBITDARatio,date
16848.748,1.566666667,7.233333333,6.12745333,"10,490,000,000","9,483,000,000","7,935,000,000","2,555,000,000","886,000,000","447,000,000",,,,,"447,000,000",,,,"439,000,000","1,669,000,000","-213,000,000",,"213,000,000",,"-93,000,000",,"-106,000,000","106,000,000",,,,"13,000,000","1,363,000,000","-6,000,000","1,369,000,000","1,369,000,000","1,369,000,000","1,369,000,000",,,"1,369,000,000",1.61,1.59,"851,000,000","861,000,000","1,563,000,000","425,000,000","8,821,000,000","1,369,000,000","1,437,900,000",,"213,000,000","-213,000,000","1,576,000,000",,"7,935,000,000",,"1,369,000,000","-106,000,000","-106,000,000","1,682,000,000",0.35,"-37,100,000",23.15999985,23.69000053,22.70999908,23.59000015,21.01384163,10827400,DAL,"20,182,327,403","28,480,327,403",11.507,8.818,1.86,0.55,,2.715,18.071,9/30/13
16637.926,1.433333333,7.533333333,6.156055,"9,707,000,000","8,726,000,000","7,986,000,000","1,721,000,000","773,000,000","408,000,000",,,,,"408,000,000",,,,"365,000,000","948,000,000","-213,000,000",,"213,000,000",,"-49,000,000",,"-34,000,000","34,000,000",,,,"-15,000,000","686,000,000","1,000,000","685,000,000","685,000,000","685,000,000","685,000,000",,,"685,000,000",0.81,0.8,"850,000,000","859,000,000","914,000,000","414,000,000","8,759,000,000","685,000,000","718,950,437.32",,"213,000,000","-213,000,000","899,000,000",,"7,986,000,000",,"685,000,000","-34,000,000","-34,000,000","933,000,000",0.001,"-49,562.68",,,,,,,,"16,025,960,205","24,745,960,205",17.819,7.246,1.529,0.434,,2.549,27.526,6/30/13
16569.591,1.7,7.733333333,6.224613,"8,500,000,000","7,571,000,000","7,463,000,000","1,037,000,000","713,000,000","357,000,000",,,,,"357,000,000",,,,"356,000,000","324,000,000","-220,000,000",,"220,000,000",,"-101,000,000",,"-102,000,000","102,000,000",,,,"1,000,000","3,000,000","-4,000,000","7,000,000","7,000,000","7,000,000","7,000,000",,,"7,000,000",0.01,0.01,"848,000,000","855,000,000","222,000,000","383,000,000","8,176,000,000","7,000,000","73,300,000",,"220,000,000","-220,000,000","223,000,000",,"7,463,000,000",,"7,000,000","-102,000,000","-102,000,000","325,000,000",0.35,"-35,700,000",,,,,,,,"14,059,767,277","23,394,767,277",13.874,5.797,0.991,0.383,,2.752,104.909,3/31/13
16358.863,1.9,7.8,6.25010967,"8,602,000,000","4,729,000,000","14,306,000,000","-5,704,000,000","-6,177,000,000","-5,370,000,000",,,,,"377,000,000",,,,"359,000,000","473,000,000","-382,000,000",,"382,000,000",,"-80,000,000",,"-53,000,000","200,000,000",,,"-69,000,000","-2,000,000","11,000,000","5,000,000","6,000,000","6,000,000","6,000,000","6,000,000",,,"6,000,000",0.01,0.01,"846,000,000","852,000,000","352,000,000","388,000,000","8,129,000,000","6,000,000","40,450,000",,"382,000,000","-382,000,000","393,000,000",,"14,306,000,000",,"6,000,000","-53,000,000","-53,000,000","446,000,000",0.35,"-18,550,000",11.56999969,12.05000019,11.55000019,11.86999989,10.5434885,11658400,DAL,"10,106,142,131","19,441,142,131",9.975,4.993,0.854,0.275,,2.26,49.469,12/31/12
16257.151,1.7,8.033333333,6.353122,"9,923,000,000","9,923,000,000","5,189,000,000","4,734,000,000","3,277,000,000","2,464,000,000","2,024,000,000","2,024,000,000","425,000,000","-425,000,000","440,000,000","392,000,000","392,000,000",,"421,000,000","1,457,000,000","-195,000,000",,"195,000,000","195,000,000","-210,000,000",,"-210,000,000","149,000,000",,,"61,000,000",,"1,052,000,000","5,000,000","1,047,000,000","1,047,000,000","1,047,000,000","1,047,000,000",,,"1,047,000,000",1.24,1.23,"846,000,000","850,000,000",,"425,000,000","8,466,000,000","1,047,000,000","1,256,001,901.14",,"195,000,000","-195,000,000","1,247,000,000",,"5,189,000,000","392,000,000","1,047,000,000","-210,000,000","-210,000,000","1,849,000,000",0.005,"-998,098.86",,,,,,,,"7,788,852,882","17,290,852,882",8.327,3.713,0.852,0.213,,1.743,10.55,9/30/12
16152.257,1.9,8.2,6.32860733,"9,732,000,000","9,732,000,000","6,268,000,000","3,464,000,000","3,137,000,000","2,353,000,000","1,960,000,000","1,960,000,000","415,000,000","-415,000,000","393,000,000","388,000,000","388,000,000",,"396,000,000","327,000,000","-207,000,000",,"207,000,000",,"-284,000,000",,"-284,000,000","193,000,000",,,"91,000,000",,"-164,000,000","4,000,000","-168,000,000","-168,000,000","-168,000,000","-168,000,000",,,"-168,000,000",-0.2,-0.2,"845,000,000","845,000,000",,"415,000,000","9,405,000,000","-168,000,000","16,600,000",,"207,000,000","-207,000,000","43,000,000",,"6,268,000,000","388,000,000","-168,000,000","-284,000,000","-284,000,000","715,000,000",0.35,"-99,400,000",,,,,,,,"9,303,547,991","18,809,547,991",7.11,4.168,0.869,0.259,,1.933,43.642,6/30/12
16019.758,2.833333333,8.266666667,6.30889433,"8,413,000,000","8,413,000,000","5,098,000,000","3,315,000,000","2,945,000,000","2,143,000,000","1,763,000,000","1,763,000,000","380,000,000","-380,000,000","380,000,000","386,000,000","386,000,000",,"416,000,000","370,000,000","-221,000,000",,"221,000,000",,"-22,000,000",,"-22,000,000","-12,000,000",,,"34,000,000",,"127,000,000","3,000,000","124,000,000","124,000,000","124,000,000","124,000,000",,,"124,000,000",0.15,0.15,"843,000,000","847,000,000",,"380,000,000","8,043,000,000","124,000,000","145,480,314.96",,"221,000,000","-221,000,000","348,000,000",,"5,098,000,000","386,000,000","124,000,000","-22,000,000","-22,000,000","756,000,000",0.024,"-519,685.04",,,,,,,,"8,383,327,121","18,559,327,121",9.817,3.776,0.293,0.238,,2.206,25.285,3/31/12
15796.46,3.3,8.633333333,6.35749967,"8,399,000,000","8,399,000,000","4,647,000,000","3,752,000,000","2,938,000,000","2,193,000,000","1,800,000,000","1,800,000,000","380,000,000","-380,000,000","393,000,000","382,000,000","382,000,000",,"363,000,000","814,000,000","-218,000,000",,"218,000,000",,"-179,000,000",,"-179,000,000","88,000,000",,,"91,000,000",,"417,000,000","-8,000,000","425,000,000","425,000,000","425,000,000","425,000,000",,,"425,000,000",0.51,0.5,"840,000,000","845,000,000",,"380,000,000","7,585,000,000","425,000,000","541,350,000",,"218,000,000","-218,000,000","635,000,000",,"4,647,000,000","382,000,000","425,000,000","-179,000,000","-179,000,000","1,196,000,000",0.35,"-62,650,000",,,,,,,,"6,853,398,843","18,082,398,843",15.264,3.591,1.197,0.197,5.596,2.153,17.78,12/31/11
15591.85,3.766666667,9,6.41673233,"9,816,000,000","9,816,000,000","5,781,000,000","4,035,000,000","3,172,000,000","2,364,000,000","1,884,000,000","1,884,000,000","414,000,000","-414,000,000","480,000,000","384,000,000","384,000,000",,"424,000,000","863,000,000","-229,000,000",,"229,000,000",,"-87,000,000",,"-87,000,000","3,000,000",,,"84,000,000",,"547,000,000","-2,000,000","549,000,000","549,000,000","549,000,000","549,000,000",,,"549,000,000",0.66,0.65,"838,000,000","844,000,000",,"414,000,000","8,953,000,000","549,000,000","605,550,000",,"229,000,000","-229,000,000","776,000,000",,"5,781,000,000","384,000,000","549,000,000","-87,000,000","-87,000,000","1,247,000,000",0.35,"-30,450,000",7.860000134,7.869999886,7.46999979,7.5,6.661850929,14810400,DAL,"6,353,583,600","17,582,583,600",14.151,3.837,1.279,0.183,5.199,1.791,15.157,9/30/11
15496.189,3.466666667,9.066666667,6.4995,"9,153,000,000","9,153,000,000","5,548,000,000","3,605,000,000","2,980,000,000","2,187,000,000","1,747,000,000","1,747,000,000","394,000,000","-394,000,000","440,000,000","381,000,000","381,000,000",,"412,000,000","625,000,000","-233,000,000",,"233,000,000",,"-197,000,000",,"-197,000,000","144,000,000",,,"53,000,000",,"195,000,000","-3,000,000","198,000,000","198,000,000","198,000,000","198,000,000",,,"198,000,000",0.24,0.23,"838,000,000","844,000,000",,"394,000,000","8,528,000,000","198,000,000","326,050,000",,"233,000,000","-233,000,000","428,000,000",,"5,548,000,000","381,000,000","198,000,000","-197,000,000","-197,000,000","1,006,000,000",0.35,"-68,950,000",9.270000458,9.359999657,9.159999847,9.170000076,8.145223618,20603300,DAL,"7,758,394,959","18,597,394,959",29.581,4.45,1.484,0.229,9.883,2.032,22.988,6/30/11
15285.828,2.133333333,9.033333333,6.580304,"7,747,000,000","7,747,000,000","4,931,000,000","2,816,000,000","2,901,000,000","2,096,000,000","1,727,000,000","1,727,000,000","391,000,000","-391,000,000","369,000,000","376,000,000","376,000,000",,"429,000,000","-85,000,000","-221,000,000",,"221,000,000",,"-83,000,000",,"-83,000,000","7,000,000",,,"76,000,000",,"-389,000,000","-71,000,000","-318,000,000","-318,000,000","-318,000,000","-318,000,000",,,"-318,000,000",-0.38,-0.38,"837,000,000","837,000,000",,"391,000,000","7,832,000,000","-318,000,000","-250,149,100.26",,"221,000,000","-221,000,000","-168,000,000",,"4,931,000,000","376,000,000","-318,000,000","-83,000,000","-83,000,000","291,000,000",0.183,"-15,149,100.26",9.840000153,9.979999542,9.710000038,9.800000191,8.704816818,11487500,DAL,"8,284,231,961","19,614,231,961",15.556,4.71,1.57,0.253,10.929,2.532,94.299,3/31/11
15240.843,1.266666667,9.5,6.658365,"7,789,000,000","7,789,000,000","2,922,000,000","4,867,000,000","2,819,000,000","3,659,000,000","3,295,000,000","1,746,000,000",,"2,822,000,000","364,000,000","372,000,000","372,000,000",,,"2,048,000,000","-219,000,000","5,000,000","224,000,000",,"-1,809,000,000",,"-1,809,000,000","108,000,000",,,"1,701,000,000",,"20,000,000","1,000,000","19,000,000","19,000,000","19,000,000","19,000,000",,,"19,000,000",,,,,,"395,000,000","5,741,000,000","19,000,000","1,737,550,000","5,000,000","224,000,000","-219,000,000","244,000,000",,"2,922,000,000","372,000,000","19,000,000","-1,809,000,000","-1,809,000,000","2,425,000,000",0.05,"-90,450,000",12.44999981,12.63000011,12.42000008,12.60000038,11.19191074,4262400,DAL,"10,517,517,649","22,159,517,649",18,5.596,1.865,0.334,17.214,2.845,35.973,12/31/10
15079.917,1.133333333,9.466666667,6.770695,"8,950,000,000","8,950,000,000","4,675,000,000","4,275,000,000","3,066,000,000","2,258,000,000","1,854,000,000","1,854,000,000","423,000,000","-423,000,000","404,000,000","375,000,000","375,000,000",,"433,000,000","1,209,000,000","-249,000,000","7,000,000","256,000,000",,"-594,000,000","-360,000,000","-594,000,000","206,000,000",,,"388,000,000",,"366,000,000","3,000,000","363,000,000","363,000,000","363,000,000","363,000,000",,,"363,000,000",0.43,0.43,"835,000,000","842,000,000",,"423,000,000","7,741,000,000","363,000,000","952,131,147.54","7,000,000","256,000,000","-249,000,000","622,000,000",,"4,675,000,000","375,000,000","363,000,000","-594,000,000","-594,000,000","1,591,000,000",0.008,"-4,868,852.46",11.60999966,11.68999958,11.39000034,11.64000034,10.33919144,8396100,DAL,"9,183,034,550","20,673,034,550",17.908,,,0.317,12.843,2.31,20.735,9/30/10
14926.098,1.766666667,9.633333333,6.824717,"8,168,000,000","8,168,000,000","3,917,000,000","4,251,000,000","3,317,000,000","2,535,000,000","2,158,000,000","1,792,000,000","425,000,000","-59,000,000","377,000,000","379,000,000","379,000,000",,"403,000,000","934,000,000","-312,000,000","3,000,000","315,000,000",,"-154,000,000",,"-154,000,000","82,000,000",,,"72,000,000",,"468,000,000","1,000,000","467,000,000","467,000,000","467,000,000","467,000,000",,,"467,000,000",0.56,0.55,"834,000,000","842,000,000",,"425,000,000","7,234,000,000","467,000,000","620,670,940.17","3,000,000","315,000,000","-312,000,000","783,000,000",,"3,917,000,000","379,000,000","467,000,000","-154,000,000","-154,000,000","1,316,000,000",0.002,"-329,059.83",11.36999989,12.25,11.30000019,11.75,10.43689823,16054200,DAL,"9,268,980,649","20,617,980,649",587.5,,,0.334,46.578,2.524,17.744,6/30/10
14721.35,2.333333333,9.833333333,6.82763967,"6,848,000,000","6,848,000,000","3,079,000,000","3,769,000,000","2,797,000,000","2,036,000,000","1,672,000,000","1,672,000,000","425,000,000","-425,000,000","364,000,000","385,000,000","385,000,000",,"376,000,000","972,000,000","-306,000,000","20,000,000","326,000,000",,"-62,000,000",,"-62,000,000","54,000,000",,,"8,000,000",,"-246,000,000","10,000,000","-256,000,000","-256,000,000","-256,000,000","-256,000,000",,,"-256,000,000",-0.31,-0.31,"832,000,000","832,000,000",,"425,000,000","5,876,000,000","-256,000,000","-215,700,000","20,000,000","326,000,000","-306,000,000","80,000,000",,"3,079,000,000","385,000,000","-256,000,000","-62,000,000","-62,000,000","527,000,000",0.35,"-21,700,000",14.47999954,14.69999981,14.39000034,14.59000015,12.95951939,6676200,DAL,"11,488,003,584","27,483,003,584",,,,0.428,159.556,4.013,59.103,3/31/10
